Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
hs/2048,1.9766531732425116e-4,1.9583997229040022e-4,1.995246406140884e-4,4.412348251985919e-6,3.575338350131848e-6,6.377822656659866e-6
hs/4096,4.4833379069273945e-4,4.3642496993784525e-4,4.7292195013268716e-4,5.240584377718905e-5,2.1717686450530583e-5,8.68040992277095e-5
hs/8192,2.356114982032991e-3,1.543007563067981e-3,3.9010358733812638e-3,2.5443655280730573e-3,1.2976732586461362e-3,4.182579145880695e-3
hs/16384,5.770323849656406e-3,4.041790482072078e-3,8.705059089693901e-3,5.142442017281024e-3,3.1723512984378876e-3,7.713336077011426e-3
hs/32768,1.2722567423444112e-2,9.233844101697704e-3,1.761497995539175e-2,9.01711194420843e-3,6.350126824841094e-3,1.2498472633357174e-2
hs/65536,2.4270174350665613e-2,1.7892584591056825e-2,3.6872910490913666e-2,1.2548338558281651e-2,8.437005114335178e-3,1.7485413859669237e-2
hs/131072,5.192573729740444e-2,3.775969827239794e-2,6.881090453802373e-2,2.0346010498257013e-2,1.3468724579610904e-2,2.9134089840374015e-2
hs/262144,9.57172015311469e-2,6.44419231222913e-2,0.11992330110296805,3.057876872145393e-2,1.626479934947085e-2,4.338078955517539e-2
hs/524288,0.19263175910002447,0.12911083720003566,0.2255500162602402,5.429861826888172e-2,8.595950808885519e-3,8.275540966013256e-2
hs/1048576,0.37490299064666033,0.29563054209575057,0.4085729867219925,5.384134036788583e-2,1.1890986934304237e-3,6.589387725864027e-2
hs/2097152,0.7550119725444043,0.7278503643659253,0.8231371119618416,4.587200904774192e-2,1.6867162970204963e-3,5.598765548283746e-2
