Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
seq/2048,6.396096763142181e-4,6.388738402903274e-4,6.41164543072785e-4,3.135417963288148e-6,1.3125460758109708e-6,5.3961873831911785e-6
seq/4096,2.099731359920521e-3,1.647941635188606e-3,3.1689314553875474e-3,1.7710316359836097e-3,8.589515256010961e-4,3.0056426629793223e-3
seq/8192,5.488098166377576e-3,3.945020078495654e-3,8.2865566376469e-3,4.8050069774412995e-3,2.778372074738262e-3,7.165082539518566e-3
seq/16384,1.069102222280259e-2,8.407782508793043e-3,1.4487958883282805e-2,6.80703569623294e-3,4.8162361021751015e-3,8.647945008492499e-3
seq/32768,2.5422981885063263e-2,1.720610927012738e-2,3.698981694194714e-2,1.4178340577833215e-2,1.0566678523541179e-2,2.0203984646861545e-2
seq/65536,4.5210655424117084e-2,3.45682495200517e-2,5.759776791030413e-2,1.6540488033604018e-2,1.2066232360214032e-2,2.2143846679937566e-2
seq/131072,0.10173973103100681,7.97333382371882e-2,0.12328899433779673,3.0650627705784448e-2,1.1863397160255525e-2,4.296774954089966e-2
seq/262144,0.1997856277636149,0.13941096748846274,0.23815157358120712,5.2249771750273705e-2,2.0782932491684822e-2,7.490402707420814e-2
seq/524288,0.38681365380762145,0.26540500193368644,0.4734999612555839,0.1185750708431305,1.2228877519811845e-2,0.16019157437533563
seq/1048576,0.7741107623733114,0.7429654282168485,0.8153771343640983,3.5095520607911365e-2,5.058386234965868e-3,4.307151459533621e-2
seq/2097152,1.475852970974908,1.399252274655737,1.5429925204468116,7.819335528300966e-2,5.434090325919294e-2,8.973546938467816e-2
