Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
par/2048,9.13741697321983e-4,8.428872313275483e-4,1.0907129809235674e-3,3.3133273073228235e-4,5.3889776012558356e-5,6.419129675385295e-4
par/4096,1.4972502228092052e-3,1.238753618440542e-3,2.111657302412218e-3,1.0131807472447427e-3,4.2392552791265317e-4,1.700215804007821e-3
par/8192,2.2261825885895774e-3,1.8420730466864271e-3,3.1506400394177726e-3,1.2912684916775057e-3,4.4242402816826835e-4,2.236048041260369e-3
par/16384,3.5126692238827174e-3,3.1618998347264773e-3,4.312352485691296e-3,1.3539925231722694e-3,4.8025078579444773e-4,2.4323334281003755e-3
par/32768,6.385578525656278e-3,5.608570832284842e-3,7.801246228469902e-3,2.574702545606009e-3,1.0068724911557938e-3,4.419666893746072e-3
par/65536,1.4958013282992679e-2,1.200204496511384e-2,2.0745663576465168e-2,7.140911381057302e-3,4.727466229943309e-3,9.837341141397166e-3
par/131072,2.4257759111471516e-2,2.025616476674055e-2,3.0495648890119645e-2,8.295661735113175e-3,4.6068420893942705e-3,1.2245258225703638e-2
par/262144,4.331687662194041e-2,3.893651874832933e-2,5.127300670162827e-2,8.841024227387053e-3,4.140461719992775e-3,1.247427903412603e-2
par/524288,7.768712593902213e-2,7.485685998496289e-2,8.489550439951321e-2,7.461684048879169e-3,9.697716781137912e-4,1.2408968368102395e-2
par/1048576,0.1521064613841246,0.1476333529045362,0.16385471326818526,9.659193015512116e-3,1.6834314982549347e-3,1.4533605537529571e-2
par/2097152,0.2964631598520403,0.29186472818255427,0.3022918320260942,5.136871467551974e-3,1.3756532068838982e-3,7.602063322750204e-3
